BadBuy,VehicleAge,Color,Transmission,Mileage,Country,AveragePrice,CleanPrice,RetailAveragePrice,AuctionPrice,WarrantyCost
0,4,BLUE,AUTO,63557,AMERICAN,6961,8524,10753,7100,728
1,7,BEIGE,AUTO,90026,TOP LINE ASIAN,8811,10569,12602,7900,1209
0,5,BLUE,AUTO,89705,AMERICAN,5094,6628,9006,6100,1763
0,6,BLUE,AUTO,64511,AMERICAN,2448,3259,5279,4100,630
1,5,PURPLE,AUTO,75513,AMERICAN,10122,11913,13679,9100,1974
0,4,BLACK,AUTO,80608,AMERICAN,4407,5646,8657,5800,1373
1,9,BLACK,AUTO,95558,AMERICAN,2006,2669,4031,3700,1641
0,3,GOLD,AUTO,35796,OTHER ASIAN,5019,5870,8484,5900,462
0,4,WHITE,AUTO,83501,OTHER ASIAN,7841,9211,11179,7300,1113
0,3,BLACK,AUTO,70148,AMERICAN,9670,10949,14609,7300,686
0,4,GOLD,AUTO,76052,AMERICAN,5034,6206,8358,4900,803
0,4,RED,AUTO,72479,OTHER ASIAN,3620,4720,6484,4600,569
0,5,WHITE,AUTO,84542,AMERICAN,3214,4157,6109,4500,983
0,5,SILVER,AUTO,61081,AMERICAN,6208,7176,10055,5900,1020
1,9,WHITE,AUTO,86483,AMERICAN,5498,6393,8910,8300,2063
0,4,SILVER,AUTO,43898,AMERICAN,4465,5384,8391,5600,623
0,4,RED,AUTO,57338,AMERICAN,8597,10149,12331,7500,588
1,7,SILVER,AUTO,59425,AMERICAN,6216,7470,9763,8700,1137
0,5,RED,AUTO,79957,AMERICAN,6242,8058,10261,7700,1389
0,7,BLUE,AUTO,78559,TOP LINE ASIAN,6412,7495,10072,8000,986
0,3,ORANGE,AUTO,48386,AMERICAN,7470,9106,11322,7200,623
0,7,GOLD,AUTO,80117,AMERICAN,6216,7470,9763,8100,1413
0,6,BLUE,MANUAL,65795,AMERICAN,2765,3641,5545,3100,1020
0,5,RED,AUTO,51145,AMERICAN,5294,6470,9365,7500,1583
0,6,GREY,AUTO,88366,AMERICAN,2575,3529,5601,4400,983
0,5,GOLD,AUTO,55909,AMERICAN,7350,8513,12016,8500,1169
0,5,GREY,AUTO,86702,AMERICAN,12004,15664,17400,10100,853
0,4,RED,AUTO,81424,AMERICAN,7387,9053,11237,6900,853
0,6,GREEN,AUTO,65379,TOP LINE ASIAN,4704,5612,7671,7700,630
0,6,RED,AUTO,74954,AMERICAN,6115,7807,10007,8900,1155
0,8,GOLD,AUTO,49328,AMERICAN,4081,5039,7246,7400,1134
0,7,SILVER,MANUAL,73810,AMERICAN,2105,2967,4771,4100,1455
0,3,BLUE,AUTO,43412,AMERICAN,5628,6695,9226,5800,975
0,6,WHITE,AUTO,78412,AMERICAN,4220,4497,7415,5100,1155
0,6,PURPLE,AUTO,74026,AMERICAN,6964,8498,10836,10200,920
1,8,WHITE,AUTO,64822,AMERICAN,3442,4419,6382,6100,1028
0,6,PURPLE,AUTO,80491,AMERICAN,6601,8123,10917,9400,983
0,5,RED,AUTO,85003,AMERICAN,4645,5384,8601,5600,1633
0,4,SILVER,AUTO,65711,AMERICAN,5039,6214,8160,4700,1215
0,5,GREY,AUTO,56064,AMERICAN,9202,11302,13865,11300,754
0,4,BLACK,AUTO,62230,AMERICAN,9090,10656,13016,10100,1215
0,3,WHITE,AUTO,62190,OTHER ASIAN,5207,5979,8864,5400,533
0,5,RED,AUTO,67426,AMERICAN,7224,8875,10726,9400,1118
0,6,WHITE,AUTO,75806,AMERICAN,7512,9026,11459,8600,1038
0,5,SILVER,AUTO,88991,AMERICAN,4343,5452,7626,5900,2152
0,3,RED,AUTO,89849,AMERICAN,12075,14451,16932,9900,983
0,4,BLUE,AUTO,81338,AMERICAN,8890,10815,13062,7900,1243
0,5,SILVER,AUTO,80077,AMERICAN,4858,5975,8286,6600,1373
0,8,BROWN,AUTO,77233,AMERICAN,2072,2862,5511,4600,1806
0,5,RED,AUTO,66681,AMERICAN,8153,9182,11607,9500,728
0,9,SILVER,AUTO,82526,AMERICAN,2698,3378,5581,5200,2063
0,3,BLUE,AUTO,81930,TOP LINE ASIAN,10573,12032,16795,9700,594
0,4,SILVER,AUTO,74131,AMERICAN,10883,12166,15402,10600,1389
0,7,WHITE,AUTO,72417,OTHER ASIAN,3115,4152,6003,5100,1103
0,3,BLUE,AUTO,64118,AMERICAN,8549,9808,12845,10100,1215
0,5,SILVER,AUTO,71423,AMERICAN,7174,8314,10657,8800,1389
0,6,MAROON,AUTO,64650,AMERICAN,3898,4943,6977,6800,1703
0,5,WHITE,AUTO,85388,AMERICAN,3689,4605,6809,5000,1243
0,6,BLUE,AUTO,95443,AMERICAN,2953,3810,6832,4300,1341
0,4,SILVER,AUTO,69337,AMERICAN,6627,7770,10753,6500,728
0,3,SILVER,AUTO,46563,OTHER ASIAN,5398,6221,8847,6100,482
0,6,SILVER,MANUAL,84905,AMERICAN,4033,4598,6925,5400,723
0,3,BLACK,AUTO,71062,AMERICAN,7939,9414,11525,8200,1974
0,4,GREY,AUTO,80999,AMERICAN,7058,8082,10569,7900,2152
0,3,BLUE,AUTO,66545,AMERICAN,9693,12057,13671,7800,1411
0,6,RED,MANUAL,67785,AMERICAN,3103,3790,5925,4400,728
0,3,MAROON,AUTO,71952,OTHER ASIAN,9653,10778,13469,7500,1272
0,4,GREEN,AUTO,70741,AMERICAN,7146,8382,10398,6900,1272
0,7,BLUE,AUTO,94318,TOP LINE ASIAN,5825,6662,8859,7100,920
0,5,BLACK,AUTO,69440,AMERICAN,7173,8568,11024,8600,1313
0,5,SILVER,AUTO,54268,AMERICAN,3739,4624,7003,5200,754
1,7,BLUE,AUTO,59072,AMERICAN,3458,4653,6222,5100,1469
0,6,SILVER,AUTO,86028,OTHER ASIAN,5069,6199,8142,6300,594
0,6,RED,AUTO,64677,AMERICAN,7102,8063,12790,8500,630
0,7,BLUE,AUTO,68874,AMERICAN,2974,3997,5798,4100,1125
1,7,GREEN,AUTO,64554,AMERICAN,3129,4254,5786,5300,1320
0,5,GREY,MANUAL,73988,OTHER ASIAN,8028,9851,11138,7135,1038
0,4,WHITE,MANUAL,23881,OTHER ASIAN,4325,5406,7860,6200,462
0,3,SILVER,AUTO,50532,OTHER ASIAN,5660,6628,8872,5600,505
1,5,WHITE,AUTO,60554,AMERICAN,4690,5796,7488,6200,1703
0,7,WHITE,AUTO,91558,AMERICAN,8630,9792,11589,9800,1497
1,9,RED,AUTO,63377,AMERICAN,4769,6001,8035,8300,1223
0,6,RED,AUTO,59391,AMERICAN,4526,5582,8143,7600,505
0,3,SILVER,AUTO,44367,OTHER ASIAN,6132,7138,9678,6300,482
0,5,SILVER,AUTO,44515,AMERICAN,4198,5200,7936,6100,834
0,9,GOLD,AUTO,83238,AMERICAN,2752,3533,5427,5100,5392
0,8,SILVER,AUTO,92532,AMERICAN,4934,6104,8163,6400,1930
0,3,SILVER,AUTO,68165,OTHER ASIAN,7151,7576,10339,7300,728
0,6,GREEN,AUTO,87775,AMERICAN,3667,4575,7778,4600,1243
0,9,BLUE,AUTO,86414,AMERICAN,3506,4235,6110,5800,1153
0,4,BLACK,AUTO,36142,AMERICAN,6587,7595,10777,6300,582
0,6,RED,AUTO,80788,AMERICAN,3122,3900,5852,4100,723
0,5,GREEN,AUTO,93346,AMERICAN,5880,7345,9368,6600,1774
1,3,SILVER,AUTO,73963,AMERICAN,6261,7204,9489,6400,1389
0,3,WHITE,AUTO,68183,OTHER ASIAN,5410,6307,8517,6600,533
0,5,SILVER,AUTO,64839,AMERICAN,8725,10093,11793,10400,1215
0,8,YELLOW,MANUAL,75484,AMERICAN,4661,5666,7917,7100,869
0,6,GREY,AUTO,59287,AMERICAN,2734,3778,6025,6100,920
0,4,RED,AUTO,63151,AMERICAN,6843,7845,10022,7100,923
0,5,WHITE,AUTO,46695,AMERICAN,8578,10148,12893,11700,693
0,7,GOLD,AUTO,58897,AMERICAN,4055,4911,6993,6500,1800
0,5,WHITE,AUTO,65363,AMERICAN,8086,9459,12214,10500,1215
0,8,BLUE,AUTO,75237,AMERICAN,4783,5936,7949,6600,1689
0,4,GREEN,AUTO,85042,AMERICAN,4872,5998,8066,4600,983
0,4,SILVER,AUTO,87701,AMERICAN,7477,8519,10588,7200,2152
0,7,GREY,AUTO,92816,AMERICAN,6120,7431,10195,7700,1641
0,7,WHITE,AUTO,97221,AMERICAN,3666,4925,6135,4600,2074
0,5,WHITE,AUTO,73726,OTHER ASIAN,3295,4183,6362,4100,920
0,5,GOLD,AUTO,47550,AMERICAN,5785,7168,8927,7800,1398
0,6,SILVER,AUTO,63079,AMERICAN,3309,4502,6242,4600,1215
0,6,WHITE,AUTO,64064,OTHER ASIAN,3593,4660,8268,5000,533
0,7,SILVER,AUTO,88027,AMERICAN,4871,5850,7772,5700,1153
0,5,RED,AUTO,82164,OTHER ASIAN,4016,4841,7038,5600,594
0,4,RED,AUTO,84763,AMERICAN,5528,6586,8470,5900,853
0,5,SILVER,AUTO,52113,AMERICAN,3851,4867,6936,5600,754
0,3,SILVER,AUTO,49893,AMERICAN,6269,7271,9403,6600,975
0,7,MAROON,AUTO,92782,AMERICAN,3741,4678,6368,4700,1209
0,4,RED,AUTO,46001,AMERICAN,5551,6699,8670,6500,975
1,6,GREY,AUTO,62990,AMERICAN,6217,7767,10090,8300,1020
1,6,SILVER,AUTO,78992,AMERICAN,6702,7909,9788,8300,1155
0,4,SILVER,AUTO,64458,AMERICAN,6874,8064,10059,7400,1118
1,6,RED,AUTO,60522,AMERICAN,4196,5053,7137,5900,1215
1,8,WHITE,AUTO,73725,AMERICAN,4862,6216,8540,5900,2274
0,4,WHITE,AUTO,71214,OTHER ASIAN,8857,10225,12523,8000,569
0,6,BLUE,AUTO,60530,AMERICAN,4196,5053,7137,6300,1215
0,5,SILVER,AUTO,66695,AMERICAN,4668,5538,7714,6000,825
0,4,WHITE,AUTO,89030,AMERICAN,7807,9690,11179,7700,1633
0,4,BLUE,AUTO,36425,OTHER ASIAN,5017,6174,7981,6500,462
0,5,GREY,AUTO,58823,AMERICAN,4346,5727,7345,5800,754
0,5,GREY,AUTO,72592,AMERICAN,6975,8654,11111,9400,1389
0,4,SILVER,AUTO,79015,AMERICAN,11290,13198,14310,8700,1389
0,8,WHITE,AUTO,88667,AMERICAN,3061,4280,5546,3900,2712
0,4,RED,AUTO,58499,AMERICAN,5557,6686,8544,6300,1086
0,5,BLUE,AUTO,95025,OTHER ASIAN,6403,8021,9910,5600,1485
0,2,RED,AUTO,50644,AMERICAN,7813,8262,11116,7500,754
0,4,RED,AUTO,88832,AMERICAN,5241,6547,8582,5800,1243
0,7,GREY,AUTO,68040,OTHER ASIAN,2269,3008,5253,2800,1125
0,3,SILVER,AUTO,58384,AMERICAN,8186,9635,11287,8300,1500
0,3,BLACK,AUTO,79284,AMERICAN,7418,8680,10907,7000,920
0,6,BLUE,AUTO,80906,AMERICAN,8817,10563,12228,9500,1113
0,6,GREEN,AUTO,94011,AMERICAN,4759,6083,7680,5900,1485
0,8,SILVER,AUTO,86875,AMERICAN,7898,9254,11251,11100,1673
0,3,BLACK,AUTO,61319,OTHER ASIAN,7346,8563,10865,7235,533
0,6,WHITE,AUTO,79333,AMERICAN,4065,4877,6776,6100,1389
0,7,WHITE,AUTO,92897,AMERICAN,3250,4284,6161,5300,2651
0,5,WHITE,AUTO,59801,OTHER ASIAN,7020,8057,10759,7935,754
0,5,SILVER,MANUAL,75108,OTHER ASIAN,6264,7477,9640,7400,1038
0,7,GREEN,AUTO,67696,TOP LINE ASIAN,4817,5876,7912,7300,930
0,5,BLUE,AUTO,50385,AMERICAN,5388,6376,8905,7300,920
0,5,GREEN,AUTO,58450,AMERICAN,6121,7452,9091,7200,1583
0,4,BLUE,MANUAL,75070,OTHER ASIAN,7837,9172,11091,6300,569
0,4,GREEN,AUTO,73870,AMERICAN,5116,6138,7862,5500,1155
0,3,MAROON,MANUAL,43535,OTHER ASIAN,5244,6134,8632,5800,482
0,4,SILVER,MANUAL,55683,AMERICAN,5052,6140,7776,6000,671
0,5,SILVER,AUTO,58681,TOP LINE ASIAN,5843,6876,9272,6300,505
0,4,GOLD,AUTO,62795,AMERICAN,4222,6630,9593,6200,533
0,6,WHITE,AUTO,77178,AMERICAN,6484,7875,9995,9335,1740
1,5,BLACK,AUTO,69430,AMERICAN,4481,5568,7335,5600,728
0,4,GREY,AUTO,86466,TOP LINE ASIAN,8051,9773,11165,7400,723
0,4,RED,AUTO,69480,AMERICAN,4895,6046,7522,4700,1020
0,7,GREEN,AUTO,86344,AMERICAN,5703,7238,8634,7000,1543
0,8,GREY,AUTO,79030,AMERICAN,4160,5304,6997,7100,1220
0,8,SILVER,AUTO,94506,AMERICAN,3369,4412,5770,4600,2218
0,4,BLUE,AUTO,77786,OTHER ASIAN,8075,9652,11354,7300,920
0,5,GREY,AUTO,67430,OTHER ASIAN,3443,4421,7443,5100,825
0,6,BLUE,MANUAL,73409,OTHER ASIAN,5723,6948,8850,7100,1038
0,3,SILVER,AUTO,60201,AMERICAN,6608,7873,10632,6400,825
0,3,BLUE,AUTO,49296,OTHER ASIAN,8531,9680,11695,8500,623
1,4,SILVER,AUTO,61315,OTHER ASIAN,6860,8045,10461,6700,728
0,4,BLACK,MANUAL,84454,AMERICAN,6487,7654,10476,6700,853
0,5,WHITE,AUTO,85262,AMERICAN,6373,8564,10239,7200,4032
0,2,BLACK,AUTO,72993,AMERICAN,9034,10418,13140,7600,1974
0,5,SILVER,MANUAL,89769,AMERICAN,4083,5129,7234,4900,853
0,5,SILVER,AUTO,68550,OTHER ASIAN,4299,5337,7237,4800,533
0,4,GREY,AUTO,62955,AMERICAN,9620,11498,13747,9935,1215
0,5,GOLD,AUTO,75101,AMERICAN,4245,5299,7010,5135,803
0,5,WHITE,AUTO,88173,AMERICAN,7160,8536,11550,6100,594
0,4,BLUE,AUTO,52791,AMERICAN,7193,8575,10640,7400,1500
0,5,SILVER,AUTO,85334,AMERICAN,7592,9194,10292,8335,1503
0,3,BLUE,AUTO,69030,AMERICAN,8088,9363,11921,7535,923
0,5,GREEN,AUTO,64555,AMERICAN,6295,7493,9743,7935,1313
0,9,GOLD,AUTO,66433,AMERICAN,2295,3367,4778,3600,1320
0,5,SILVER,AUTO,77050,AMERICAN,7014,8310,10631,7900,1389
0,4,BLUE,AUTO,84388,TOP LINE ASIAN,9079,10482,12702,9000,594
0,4,SILVER,MANUAL,52866,AMERICAN,7099,8623,10611,6600,754
0,7,BLUE,AUTO,45680,AMERICAN,2839,3716,5681,4600,1275
0,3,GOLD,MANUAL,63496,OTHER ASIAN,7386,8490,10893,6235,533
1,9,GOLD,AUTO,78593,AMERICAN,3242,4029,6037,4600,1103
0,8,WHITE,AUTO,93395,AMERICAN,2773,3768,4988,3100,1641
0,4,GOLD,MANUAL,53463,OTHER ASIAN,4169,5138,7564,4300,505
0,6,WHITE,AUTO,83081,AMERICAN,5736,7210,9141,6100,1373
0,6,GREEN,AUTO,73159,AMERICAN,6630,8099,9992,8300,1389
0,4,ORANGE,AUTO,75157,AMERICAN,6963,8039,10227,7400,803
0,5,RED,MANUAL,73516,AMERICAN,3656,4485,6635,5500,1155
0,6,WHITE,AUTO,65459,AMERICAN,3923,4569,7736,5900,630
0,9,SILVER,AUTO,92792,AMERICAN,3267,4267,5463,4700,2651
0,6,GREY,AUTO,82271,AMERICAN,5462,6768,8414,6600,853
0,5,BLACK,AUTO,88723,AMERICAN,3359,4582,6854,4900,983
0,5,SILVER,AUTO,72020,AMERICAN,4063,5165,7267,4700,803
0,5,RED,AUTO,77380,AMERICAN,4273,5296,7695,5235,1389
0,4,RED,AUTO,50773,AMERICAN,5174,6094,8425,5000,1086
0,5,WHITE,AUTO,58929,AMERICAN,3359,4582,6854,5500,754
0,8,BEIGE,AUTO,79898,AMERICAN,2739,3786,5209,5100,2274
0,4,PURPLE,AUTO,91773,AMERICAN,8037,9794,11586,6800,1630
0,6,GOLD,AUTO,62271,AMERICAN,6277,7545,9748,8600,1020
1,4,RED,AUTO,66568,AMERICAN,5108,6069,8483,6150,1215
1,3,MAROON,AUTO,63079,AMERICAN,6340,7574,9909,5800,728
0,8,RED,AUTO,82158,AMERICAN,5302,6658,8218,7600,1543
0,6,WHITE,MANUAL,60340,AMERICAN,4203,5387,7392,5700,1411
0,5,RED,AUTO,92974,AMERICAN,6218,7417,9941,5900,1774
0,5,SILVER,AUTO,74970,OTHER ASIAN,5173,6362,8469,7600,686
0,3,GOLD,AUTO,62233,AMERICAN,12693,14504,16545,10050,1508
1,6,GREEN,AUTO,79081,AMERICAN,4017,5555,7330,5500,920
0,7,BLUE,MANUAL,55756,OTHER ASIAN,2089,3183,5030,4500,1054
0,3,GREY,AUTO,53642,AMERICAN,6841,8152,10323,7600,837
0,3,BLUE,AUTO,73831,AMERICAN,8044,9743,11456,7900,1974
0,3,SILVER,AUTO,88528,AMERICAN,7814,9358,11185,6800,2152
0,6,WHITE,AUTO,94071,AMERICAN,2992,4087,6159,5100,2351
0,3,GREEN,AUTO,38837,AMERICAN,6976,8174,10513,7200,702
1,3,WHITE,AUTO,89443,AMERICAN,6976,8174,10513,6100,1113
0,6,GREEN,AUTO,97581,OTHER ASIAN,3044,4007,6275,3800,620
0,4,BLACK,AUTO,85894,AMERICAN,6654,7492,9910,5100,1503
0,3,WHITE,AUTO,52775,OTHER ASIAN,9089,10123,13210,9200,505
0,2,RED,AUTO,53544,AMERICAN,6308,7027,9803,6200,1086
0,4,RED,AUTO,68344,AMERICAN,3405,4434,6805,4200,728
0,4,SILVER,AUTO,79708,AMERICAN,4564,5807,7602,5600,803
0,6,GREY,AUTO,79352,AMERICAN,3761,4868,7059,4000,920
0,4,BLUE,AUTO,71227,AMERICAN,5785,7685,9167,6400,1623
0,5,GREY,MANUAL,43795,AMERICAN,4833,6545,8536,7100,905
0,2,GREY,AUTO,79986,AMERICAN,9910,11097,12786,9000,1389
0,8,BLUE,AUTO,73638,TOP LINE ASIAN,3893,4897,6868,7350,986
0,6,SILVER,AUTO,74697,TOP LINE ASIAN,4876,5748,8033,6800,569
0,4,SILVER,AUTO,84349,AMERICAN,6867,7644,10044,5500,1503
0,5,GOLD,AUTO,69902,AMERICAN,5904,7204,9697,7800,1215
0,2,BLACK,AUTO,70523,AMERICAN,8293,9892,12756,6850,1974
0,4,GREY,AUTO,63908,AMERICAN,8210,9827,12160,8950,1215
0,4,SILVER,AUTO,53734,AMERICAN,5899,7146,8833,7950,1003
1,2,RED,AUTO,51288,AMERICAN,8993,10322,12758,7600,920
0,5,SILVER,AUTO,41513,AMERICAN,3922,4860,7481,5150,693
0,6,SILVER,AUTO,71005,AMERICAN,2176,3347,6046,5300,1155
0,3,WHITE,AUTO,38517,OTHER ASIAN,4109,5058,7933,6100,462
0,2,BLACK,AUTO,50549,AMERICAN,7742,8831,11765,7700,671
0,8,GREEN,AUTO,74538,AMERICAN,3827,4838,6686,5000,1103
0,6,BLUE,AUTO,76895,AMERICAN,3313,4370,6417,4600,1389
0,3,SILVER,AUTO,64223,TOP LINE ASIAN,10213,11555,14505,9950,630
0,6,GOLD,AUTO,77552,OTHER ASIAN,2118,2783,4727,3700,569
0,4,SILVER,AUTO,91078,AMERICAN,6171,7614,9595,5500,1197
0,4,GREY,AUTO,72287,OTHER ASIAN,7383,9075,10965,7250,920
0,5,RED,AUTO,86500,AMERICAN,7244,8957,10794,7600,1373
0,2,SILVER,AUTO,71757,AMERICAN,10404,12297,14577,9900,1506
0,6,SILVER,AUTO,92865,OTHER ASIAN,4294,5538,6607,6600,1197
0,2,ORANGE,AUTO,79755,AMERICAN,7646,8799,11607,7850,1155
0,8,GREEN,AUTO,94898,AMERICAN,2756,3804,5665,4200,1353
0,4,BLUE,AUTO,86451,AMERICAN,8000,10486,12717,9050,1243
1,7,BLUE,AUTO,74273,OTHER ASIAN,5336,6663,8435,7300,2157
0,1,BLACK,AUTO,79732,AMERICAN,9632,10510,13362,8100,1155
1,3,BLUE,AUTO,47555,AMERICAN,8875,10274,12354,8200,905
0,6,RED,AUTO,92482,AMERICAN,7065,8576,10555,8100,1197
0,2,GOLD,AUTO,88042,AMERICAN,7127,8147,10534,6900,853
0,4,SILVER,AUTO,98315,AMERICAN,5778,7056,9366,5900,2351
0,7,BEIGE,AUTO,82444,OTHER ASIAN,2152,3065,4673,3700,894
0,4,BLUE,AUTO,97593,OTHER ASIAN,6060,7545,8988,6050,620
0,2,GREY,AUTO,54696,AMERICAN,7646,8799,11607,8800,920
1,2,BLUE,AUTO,61184,OTHER ASIAN,6796,7555,10140,6100,533
0,5,RED,AUTO,71158,AMERICAN,5134,6540,8938,5900,1623
0,1,GREY,AUTO,80120,AMERICAN,9900,10858,13687,8800,1113
0,6,BLUE,MANUAL,77135,AMERICAN,2595,3371,5503,3600,686
0,3,WHITE,AUTO,94203,AMERICAN,6672,7639,11171,6000,1485
0,2,GOLD,AUTO,49408,OTHER ASIAN,5445,6599,8080,5300,482
0,2,WHITE,AUTO,32713,AMERICAN,8052,8732,12013,8800,822
0,6,WHITE,AUTO,80444,AMERICAN,5560,7277,9663,7800,853
0,1,GREY,AUTO,60559,AMERICAN,9944,10977,14036,9000,1703
0,5,WHITE,AUTO,89452,AMERICAN,7993,9503,12015,9700,1503
0,5,GREY,AUTO,97320,OTHER ASIAN,6601,8025,10361,7200,1053
0,2,GOLD,AUTO,63456,AMERICAN,8015,9078,12078,6600,825
0,6,SILVER,AUTO,87463,OTHER ASIAN,2556,3520,5360,4000,983
0,4,WHITE,AUTO,91071,AMERICAN,12388,14924,17833,9600,1774
0,3,GREY,AUTO,70029,AMERICAN,7655,8963,11715,8550,1974
1,1,BLACK,AUTO,62846,AMERICAN,11510,12950,16310,8650,1118
0,2,MAROON,AUTO,44281,AMERICAN,8169,9168,11932,8450,764
0,6,SILVER,AUTO,60060,AMERICAN,5224,6558,7708,6600,630
0,7,GREY,AUTO,52526,TOP LINE ASIAN,5529,6132,8454,7650,805
0,3,PURPLE,AUTO,85042,AMERICAN,7655,8963,11715,8000,2152
0,5,RED,AUTO,83135,AMERICAN,7523,9285,11236,7450,2282
0,5,RED,AUTO,107337,AMERICAN,3765,4952,6620,4350,1450
0,3,SILVER,AUTO,76898,AMERICAN,5798,7316,9688,5100,1155
0,4,BLACK,AUTO,69654,OTHER ASIAN,7067,8474,11300,7250,1313
0,4,MAROON,AUTO,74187,AMERICAN,8258,9982,12554,8000,1389
0,5,SILVER,AUTO,76007,AMERICAN,7979,9680,11325,7600,686
0,6,SILVER,AUTO,75878,OTHER ASIAN,5584,6689,9409,7200,920
0,5,WHITE,AUTO,44437,AMERICAN,5017,6360,8225,7400,482
0,4,WHITE,AUTO,87839,AMERICAN,4529,5607,7233,5000,853
